,Country,Product,Flow,Date,value
345,Poland,Natural gas,Total energy supply (PJ),2001,434.4470994
346,Poland,Nuclear,Total energy supply (PJ),2001,0
347,Poland,Renewables and waste,Total energy supply (PJ),2001,174.6343964
348,Poland,Electricity,Total energy supply (PJ),2001,-24.22440193
349,Poland,Heat,Total energy supply (PJ),2001,0
350,Poland,Total,Total energy supply (PJ),2001,3744.233037
351,Portugal,"Coal, peat and oil shale",Total energy supply (PJ),2001,133.6446531
352,Portugal,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,554.7388373
353,Portugal,Oil products,Total energy supply (PJ),2001,82.32939849
354,Portugal,Natural gas,Total energy supply (PJ),2001,94.41540055
355,Portugal,Nuclear,Total energy supply (PJ),2001,0
356,Portugal,Renewables and waste,Total energy supply (PJ),2001,171.525597
357,Portugal,Electricity,Total energy supply (PJ),2001,0.8603999604
358,Portugal,Heat,Total energy supply (PJ),2001,0
359,Portugal,Total,Total energy supply (PJ),2001,1037.514282
360,Slovak Republic,"Coal, peat and oil shale",Total energy supply (PJ),2001,185.3085174
361,Slovak Republic,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,242.0319788
362,Slovak Republic,Oil products,Total energy supply (PJ),2001,-116.6412
363,Slovak Republic,Natural gas,Total energy supply (PJ),2001,258.2568002
364,Slovak Republic,Nuclear,Total energy supply (PJ),2001,188.6841836
365,Slovak Republic,Renewables and waste,Total energy supply (PJ),2001,34.09144605
366,Slovak Republic,Electricity,Total energy supply (PJ),2001,-13.24080105
367,Slovak Republic,Heat,Total energy supply (PJ),2001,0.009399366
368,Slovak Republic,Total,Total energy supply (PJ),2001,778.5003286
369,Slovenia,"Coal, peat and oil shale",Total energy supply (PJ),2001,60.0299909
370,Slovenia,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,0
371,Slovenia,Oil products,Total energy supply (PJ),2001,102.9034007
372,Slovenia,Natural gas,Total energy supply (PJ),2001,35.58509951
373,Slovenia,Nuclear,Total energy supply (PJ),2001,57.34909075
374,Slovenia,Renewables and waste,Total energy supply (PJ),2001,41.12059758
375,Slovenia,Electricity,Total energy supply (PJ),2001,-6.379201073
376,Slovenia,Heat,Total energy supply (PJ),2001,0
377,Slovenia,Total,Total energy supply (PJ),2001,290.6089783
378,Spain,"Coal, peat and oil shale",Total energy supply (PJ),2001,802.7178893
379,Spain,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,2437.484802
380,Spain,Oil products,Total energy supply (PJ),2001,233.0195988
381,Spain,Natural gas,Total energy supply (PJ),2001,686.6315994
382,Spain,Nuclear,Total energy supply (PJ),2001,694.9963652
383,Spain,Renewables and waste,Total energy supply (PJ),2001,347.3039193
384,Spain,Electricity,Total energy supply (PJ),2001,12.41999985
385,Spain,Heat,Total energy supply (PJ),2001,0
386,Spain,Total,Total energy supply (PJ),2001,5214.574173
387,Sweden,"Coal, peat and oil shale",Total energy supply (PJ),2001,115.3613329
388,Sweden,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,813.3872959
389,Sweden,Oil products,Total energy supply (PJ),2001,-234.9447983
390,Sweden,Natural gas,Total energy supply (PJ),2001,36.64799824
391,Sweden,Nuclear,Total energy supply (PJ),2001,786.6436378
392,Sweden,Renewables and waste,Total energy supply (PJ),2001,617.4687741
393,Sweden,Electricity,Total energy supply (PJ),2001,-26.24400121
394,Sweden,Heat,Total energy supply (PJ),2001,15.30593597
395,Sweden,Total,Total energy supply (PJ),2001,2123.626176
396,Austria,"Coal, peat and oil shale",Total energy supply (PJ),2002,159.4511588
397,Austria,"Crude, NGL and feedstocks",Total energy supply (PJ),2002,405.050576
398,Austria,Oil products,Total energy supply (PJ),2002,131.9187997
399,Austria,Natural gas,Total energy supply (PJ),2002,290.8619992
400,Austria,Nuclear,Total energy supply (PJ),2002,0
401,Austria,Renewables and waste,Total energy supply (PJ),2002,286.201086
402,Austria,Electricity,Total energy supply (PJ),2002,2.516400778
403,Austria,Heat,Total energy supply (PJ),2002,0.1719979308
404,Austria,Total,Total energy supply (PJ),2002,1276.17201
405,Belgium,"Coal, peat and oil shale",Total energy supply (PJ),2002,268.5450531
406,Belgium,"Crude, NGL and feedstocks",Total energy supply (PJ),2002,1415.327811
407,Belgium,Oil products,Total energy supply (PJ),2002,-503.0989006
408,Belgium,Natural gas,Total energy supply (PJ),2002,560.1078013
409,Belgium,Nuclear,Total energy supply (PJ),2002,516.6545448
